month,hs_code,hs_desc,hhi,c3_share,supplier_count,risk_cluster,risk_cluster_label
2022-12-01,854239,"ELECTRONIC INTEGRATED CIRCUITS, NESOI",0.165510763429394,0.6246972710639656,106,0,lower concentration/broad supplier base
2023-01-01,853400,PRINTED CIRCUITS,0.1917838205980945,0.6719339633179039,52,2,lower concentration/moderate breadth
2023-01-01,854231,"PROCESSORS AND CONTROLLERS, ELECTRONIC INTEG CIRCT",0.1759977158926765,0.590346437217247,57,2,lower concentration/moderate breadth
2023-01-01,854232,"MEMORIES, ELECTRONIC INTEGRATED CIRCUITS",0.2358617612313948,0.7698466956313558,27,1,elevated concentration
2023-01-01,854233,"AMPLIFIERS, ELECTRONIC INTEGRATED CIRCUITS",0.1843876232814739,0.6444181453637625,29,2,lower concentration/moderate breadth
2023-01-01,854239,"ELECTRONIC INTEGRATED CIRCUITS, NESOI",0.156597734190075,0.5750920772690076,54,2,lower concentration/moderate breadth
2023-02-01,853400,PRINTED CIRCUITS,0.1787584121816914,0.6637312704042073,56,2,lower concentration/moderate breadth
2023-02-01,854231,"PROCESSORS AND CONTROLLERS, ELECTRONIC INTEG CIRCT",0.1614768256294779,0.5592265334463139,68,2,lower concentration/moderate breadth
2023-02-01,854232,"MEMORIES, ELECTRONIC INTEGRATED CIRCUITS",0.2418772628162044,0.7460757242962743,33,1,elevated concentration
2023-02-01,854233,"AMPLIFIERS, ELECTRONIC INTEGRATED CIRCUITS",0.1878072614506727,0.6305687159515565,35,2,lower concentration/moderate breadth
2023-02-01,854239,"ELECTRONIC INTEGRATED CIRCUITS, NESOI",0.1795548525317942,0.6174124812343791,60,2,lower concentration/moderate breadth
2023-03-01,853400,PRINTED CIRCUITS,0.1732122185117044,0.6189171090125225,65,0,lower concentration/broad supplier base
2023-03-01,854231,"PROCESSORS AND CONTROLLERS, ELECTRONIC INTEG CIRCT",0.1641586740457487,0.5982976855163132,74,0,lower concentration/broad supplier base
2023-03-01,854232,"MEMORIES, ELECTRONIC INTEGRATED CIRCUITS",0.2622111105085598,0.7702336832032597,38,1,elevated concentration
2023-03-01,854233,"AMPLIFIERS, ELECTRONIC INTEGRATED CIRCUITS",0.178028505604736,0.6128197534847212,37,2,lower concentration/moderate breadth
2023-03-01,854239,"ELECTRONIC INTEGRATED CIRCUITS, NESOI",0.1636849215615692,0.6033648589699059,66,0,lower concentration/broad supplier base
2023-04-01,853400,PRINTED CIRCUITS,0.1683994631512091,0.6049829149762204,67,0,lower concentration/broad supplier base
2023-04-01,854231,"PROCESSORS AND CONTROLLERS, ELECTRONIC INTEG CIRCT",0.1474271184240418,0.5917357098355114,82,0,lower concentration/broad supplier base
2023-04-01,854232,"MEMORIES, ELECTRONIC INTEGRATED CIRCUITS",0.1853682487090105,0.6613799972489042,41,2,lower concentration/moderate breadth
2023-04-01,854233,"AMPLIFIERS, ELECTRONIC INTEGRATED CIRCUITS",0.1595673422059,0.5792613058141562,39,2,lower concentration/moderate breadth
2023-04-01,854239,"ELECTRONIC INTEGRATED CIRCUITS, NESOI",0.1772593342283791,0.6230112157345359,72,0,lower concentration/broad supplier base
2023-05-01,853400,PRINTED CIRCUITS,0.1623372785609564,0.6159957481498801,69,0,lower concentration/broad supplier base
2023-05-01,854231,"PROCESSORS AND CONTROLLERS, ELECTRONIC INTEG CIRCT",0.141753206962248,0.5544045519572636,83,0,lower concentration/broad supplier base
2023-05-01,854232,"MEMORIES, ELECTRONIC INTEGRATED CIRCUITS",0.2283598935547595,0.7458616706657035,44,1,elevated concentration
2023-05-01,854233,"AMPLIFIERS, ELECTRONIC INTEGRATED CIRCUITS",0.1534739261926324,0.5752251745686948,43,2,lower concentration/moderate breadth
